player,total_points
"Cungu, Rrezart",38
"Galoppini, Davide",38
"Krainer, Lukas",38
"Safwat, Mohamed",38
"Sorrentino, Luigi",38
"Torpegaard, Mikael",38
"Boehler, Dominik",40
"Simon, Sahar",40
"Sureshkumar, Manish",40
"Weightman, Oscar",40
"Dostanic, Stefan",41
"Egea, Franco Emanuel",41
"Gomez, Federico Agustin",41
"Haerteis, Johannes",41
"Iannaccone, Federico",41
"Naw, Hazem",41
"Pannu, Kiranpal",41
"Araujo, Pedro",42
"Atlangeriev, Bekkhan",42
"Bemelmans, Ruben",42
"Jahn, Jeremy",42
"Popovic, Stefan",42
"Bolt, Alex",43
"Carou, Ignacio",43
"Chidekh, Clement",43
"Elsayed, Amr",43
"Frunza, Nicolae",43
"Kim, Cheong-Eui",43
"Smith, Roy",43
"Tomasetto, Luca",43
"Wallart, Enzo",43
"Winter Lopez, Benjamin",43
"Zanellato, Nicolas",43
"Handel, Tim",44
"Janowicz, Jerzy",44
"Kuzuhara, Bruno",44
"Wehnelt, Kai",44
"Debru, Gabriel",45
"Donski, Alexander",45
"Folliot, Quentin",45
"Heyman, Christopher",45
"Krstin, Pedja",45
"Nouza, Petr",45
"Rodriguez, Cristian",45
"Roncalli, Simone",45
"Bielinskyi, Viacheslav",46
"Corwin, Felix",46
"Fajta, Peter",46
"Kirci, Koray",46
"Lee, Duckhee",46
"Li, Hanwen",46
"Reymond, Arthur",46
"Tabacco, Giorgio",46
"Van Wyk, Kris",46
"Baker, Blu",47
"Fuele, Matyas",47
"Ivanovski, Kalin",47
"Klier Junior, Gilbert",47
"Knaff, Alex",47
"Markes, Colin",47
"Metreveli, Aleksandre",47
"Soeda, Go",47
"Tabacco, Fausto",47
"Cid Subervi, Roberto",48
"Tanuma, Ryota",48
"Kadhe, Arjun",49
"Michelsen, Alex",49
"Samrej, Kasidit",49
"Tenti, Fermin",49
"Balzerani, Riccardo",50
"Harrison, Ryan",50
"Hernandez, Alex",50
"Jorda Sanchis, David",50
"Mridha, Jonathan",50
"Trotter, James",50
"Faria, Jaime",51
"Park, Uisung",51
"Prechtel, Sebastian",51
"Rawat, Sidharth",51
"Sun, Fajing",51
"Bernard, Alexander",52
"Catarina, Lucas",52
"Edmund, Kyle",52
"Martinez Martinez, Jorge",52
"Moeller, Marvin",52
"Patten, Henry",52
"Farjat, Tomas",53
"Heller, Peter",53
"Martin, Andres",53
"Pinnington Jones, Jack",53
"Young, Donald",53
"Bittoun Kouzmine, Constantin",54
"Luz, Orlando",54
"Martinez, Mirko",54
"Chazal, Maxime",55
"Dellavedova, Matthew",55
"Rubin, Noah",55
"Weber, Arthur",55
"Andrade, Andres",56
"Angele, Jaimee Floyd",56
"Cuenin, Sean",56
"Huertas del Pino, Conner",56
"McCormick, Tristan",56
"Mu, Tao",56
"Saville, Luke",56
"Te, Rigele",56
"Vale, Duarte",56
"Bertran, Peter",57
"Bhambri, Yuki",57
"Boulais, Justin",57
"Kravchenko, Georgii",57
"Lamasine, Tristan",57
"Monday, Johannus",57
"Purtseladze, Saba",57
"Singh, Digvijaypratap",57
"Whitehouse, Mark",57
"Aragone, JC",58
"Huang, Tsung-Hao",58
"Paul, Jakub",58
"Sekiguchi, Shuichi",58
"Deckers, Alec",59
"Ponwith, Nathan",59
"Alcala Gurri, Max",60
"Bueno, Gonzalo",60
"Kingsley, Cannon",60
"Piraino, Gabriele",61
"Sekulic, Philip",61
"Snitari, Ilya",61
"Legout, Timo",62
"Mochizuki, Yuki",62
"Samuel, Toby",62
"Soto, Matias",62
"Cozbinov, Alexandr",63
"Fancutt, Thomas",63
"Hazawa, Shinji",63
"Lopez Morillo, Imanol",63
"Bangoura, Sekou",64
"Hussey, Giles",64
"Mayo, Aidan",64
"Cassone, Murphy",65
"Ochi, Makoto",65
"Wendelken, Harry",65
"Draxl, Liam",66
"Kypson, Patrick",66
"Shelbayh, Abedallah",66
"Beaupain, Simon",67
"Merida, Daniel",67
"Palosi, Stefan",67
"Rai, Ajeet",67
"Serafini, Marcello",67
"Soriano Barrera, Adria",67
"Madarasz, Gergely",68
"Montes-De La Torre, Inaki",68
"Poljicak, Mili",68
"Vanshelboim, Eric",68
"Borg, Leo",69
"Gautier, Alexis",69
"Capecchi, Daniele",70
"Kuhn, Nicola",70
"Nagal, Sumit",70
"Statham, Rubin",70
"Strombachs, Robert",70
"Lenz, Julian",71
"Brymer, Gage",72
"Erel, Yanki",72
"Gima, Sebastian",72
"Kravchuk, Konstantin",72
"Napolitano, Stefano",72
"Riffice, Sam",72
"Sousa, Pedro",72
"Perez, Alfredo",73
"Sultanov, Khumoyun",73
"Bobrov, Bogdan",74
"Langmo, Christian",74
"Lingua Lavallen, Alejo Lorenzo",74
"Marie, Jules",74
"Vidal Azorin, Jose Fco.",74
"Monzon, Ignacio",75
"Pichler, David",75
"Coulibaly, Eliakim",76
"Huertas Del Pino Cordova, Arklon",76
"Clark, Ezekiel",77
"Holmgren, August",77
"Arnaboldi, Federico",78
"Nam, JiSung",79
"Oliel, Yshai",79
"Sinclair, Colin",80
"Imai, Shintaro",82
"Istomin, Denis",82
"Rincon, Daniel",82
"Aboian, Leonardo",83
"Denolly, Corentin",83
"Kawakami, Rimpei",83
"Fery, Arthur",84
"Nakagawa, Naoki",84
"Oliveira, Goncalo",84
"Tomic, Bernard",84
"Zukas, Matias",84
"Bertrand, Robin",85
"Pervolarakis, Michail",85
"Cuevas, Martin",86
"Forti, Francesco",86
"Kopp, Sandro",86
"Damm, Martin",87
"Esteve Lobato, Eduard",87
"Gill, Felix",87
"Kelly, Dayne",87
"Lajal, Mark",87
"Poljak, David",87
"Quinn, Ethan",87
"Setkic, Aldin",88
"Topo, Marko",88
"Potenza, Luca",89
"Rosenkranz, Mats",90
"Barrientos, Nicolas",91
"Chappell, Nick",91
"Aboian, Valerio",92
"Jacquet, Kyrian",92
"Panta, Jorge",93
"Gimeno Valero, Carlos",94
"Kuznetsov, Andrey",94
"Mensik, Jakub",94
"Tiurnev, Evgenii",95
"Alves, Mateus",96
"Friberg, Karl",96
"Hemery, Calvin",96
"Krumich, Martin",96
"Kumar, Omni",96
"Gutierrez, Oscar Jose",97
"Kirchheimer, Strong",97
"Marti Pujolras, Alex",98
"Ramanathan, Ramkumar",98
"Ribeiro, Eduardo",98
"Ayeni, Alafia",99
"Heide, Gustavo",99
"Jaziri, Malek",99
"Miedler, Lucas",99
"Walton, Adam",99
"Leite, Wilson",100
"Menendez-Maceiras, Adrian",100
"Vincent Ruggeri, Samuel",100
"Kym, Jerome",102
"Gaio, Federico",104
"Rehberg, Max Hans",104
"Descotte, Matias Franco",105
"Gueymard Wayenburg, Sascha",105
"Habib, Hady",106
"Kohlschreiber, Philipp",106
"Sanchez Jover, Carlos",106
"Martineau, Matteo",107
"Ferrari, Gianmarco",108
"Marchenko, Illya",108
"Bourgue, Mathias",109
"Briand, Jurgen",109
"Benchetrit, Elliot",110
"McCabe, James",111
"Patael, Ben",111
"Pereira, Jose",113
"Wenger, Damien",113
"Shimizu, Yuta",114
"Cox, Daniel",115
"Otegui, Juan Bautista",115
"Paz, Juan Pablo",115
"Seelig, Kyle",117
"Cretu, Cezar",118
"Juarez, Facundo",118
"Nanda, Govind",118
"Andreozzi, Guido",119
"Barroso Campos, Alberto",119
"Donskoy, Evgeny",119
"Santillan, Akira",119
"Lopez San Martin, Alvaro",120
"Cazaux, Arthur",121
"Jung, Jason",121
"Kasnikowski, Maks",121
"Kirkin, Ergi",121
"Orlov, Vladyslav",121
"Seyboth Wild, Thiago",121
"Ajdukovic, Duje",122
"Pouille, Lucas",122
"Smith, Keegan",122
"Leshem, Edan",124
"Prihodko, Oleg",124
"Basic, Mirza",125
"Copil, Marius",125
"Ovcharenko, Oleksandr",125
"Bertola, Remy",126
"Melzer, Gerald",126
"McHugh, Aidan",127
"Rybakov, Alex",127
"Lock, Benjamin",128
"Mpetshi Perricard, Giovanni",128
"Nikles, Johan",128
"Palan, Dominik",128
"Schoolkate, Tristan",128
"Fanselow, Sebastian",129
"Vrbensky, Michael",129
"Fonio, Giovanni",130
"Peliwo, Filip",130
"Erhard, Mathys",131
"Fomin, Sergey",131
"Hoang, Antoine",131
"Ilkel, Cem",131
"Paulson, Andrew",131
"Chepelev, Andrey",132
"Squire, Henri",133
"Broom, Charles",135
"Cukierman, Daniel",135
"Molleker, Rudolf",135
"Parker, Stuart",135
"Seppi, Andreas",135
"Oradini, Giovanni",136
"Echargui, Moez",137
"Llamas Ruiz, Pablo",137
"De Schepper, Kenny",139
"Lavagno, Edoardo",139
"Weis, Alexander",139
"Bedene, Aljaz",140
"Gunneswaran, Prajnesh",140
"Boscardin Dias, Pedro",141
"Harrison, Christian",141
"Horansky, Filip",141
"Marcondes, Igor",141
"Durasovic, Viktor",143
"Janvier, Maxime",143
"Houkes, Max",144
"Sasikumar, Mukund",144
"De Loore, Joris",145
"Lopez Montagud, Carlos",148
"Onclin, Gauthier",148
"Chung, Yunseong",149
"Kachmazov, Alibek",149
"Polmans, Marc",149
"Martin, Andrej",150
"Royer, Valentin",150
"Popko, Dmitry",152
"Querrey, Sam",152
"Harris, Billy",153
"Alvarez, Nicolas",157
"Dellien, Murkel",157
"Crawford, Oliver",158
"Gengel, Marek",158
"Tabur, Clement",158
"Uchiyama, Yasutaka",158
"Blanch, Ulises",159
"Fabbiano, Thomas",159
"Mochizuki, Shintaro",159
"Fratangelo, Bjorn",160
"Moro Canas, Alejandro",160
"Jianu, Filip Cristian",161
"Reis Da Silva, Joao Lucas",161
"Karlovskiy, Evgeny",162
"Moroni, Gian Marco",162
"Madaras, Dragos Nicolae",164
"Travaglia, Stefano",164
"Gulbis, Ernests",165
"Vatutin, Alexey",165
"Zhukayev, Beibit",165
"Herbert, Pierre-Hugues",166
"Quiroz, Roberto",166
"Hassan, Benjamin",170
"Moraing, Mats",170
"Svajda, Zachary",171
"Villanueva, Gonzalo",171
"Yunchaokete, Bu",171
"Atmane, Terence",173
"Ejupovic, Elmar",174
"Caruso, Salvatore",175
"Neumayer, Lukas",175
"Martin Tiffon, Pol",176
"Barranco Cosano, Javier",177
"Yevseyev, Denis",177
"Masur, Daniel",178
"Sachko, Vitaliy",178
"Vacherot, Valentin",178
"Wessels, Louis",178
"Zhu, Evan",179
"de Jong, Jesper",179
"Blanchet, Ugo",180
"Droguet, Titouan",180
"Lazarov, Alexandar",180
"Added, Dan",181
"Gerch, Lucas",183
"Collignon, Raphael",184
"Giustino, Lorenzo",184
"Gerasimov, Egor",185
"Stodder, Timo",185
"Decamps, Gabriel",186
"Domingues, Joao",186
"Valkusz, Mate",188
"Dougaz, Aziz",189
"Neuchrist, Maximilian",189
"Diez, Steven",190
"Moriya, Hiroki",191
"Arnaboldi, Andrea",192
"Gray, Alastair",198
"Sandgren, Tennys",198
"Lama, Gonzalo",199
"Shimabukuro, Sho",199
"Forejtek, Jonas",200
"Roca Batalla, Oriol",200
"Giannessi, Alessandro",201
"Dutra da Silva, Daniel",202
"Burruchaga, Roman Andres",204
"Michalski, Daniel",204
"Haase, Robin",207
"Mejia, Nicolas",207
"Cuevas, Pablo",208
"Sanchez Izquierdo, Nikolas",209
"Mayot, Harold",211
"Geerts, Michael",212
"Hong, Seong-chan",212
"Medjedovic, Hamad",212
"Casanova, Hernan",215
"Choinski, Jan",215
"Londero, Juan Ignacio",215
"Comesana, Francisco",216
"Sweeny, Dane",217
"Kolar, Zdenek",218
"Fils, Arthur",219
"Collarini, Andrea",220
"Zuk, Kacper",220
"Gigante, Matteo",221
"Gakhov, Ivan",224
"Mansouri, Skander",225
"Clarke, Jay",226
"Navone, Mariano",226
"Torres, Juan Bautista",228
"Alvarez Varona, Nicolas",229
"Harris, Lloyd",230
"Ly, Nam Hoang",231
"Celikbilek, Altug",236
"Gojowczyk, Peter",236
"Serdarusic, Nino",238
"Zekic, Miljan",238
"Barrios Vera, Tomas",239
"Milojevic, Nikola",239
"Fatic, Nerman",241
"Diallo, Gabriel",242
"Jasika, Omar",242
"Escobedo, Ernesto",243
"Ionel, Nicholas David",244
"Tirante, Thiago Agustin",244
"Trungelliti, Marco",247
"Svrcina, Dalibor",249
"Purcell, Max",252
"Hsu, Yu Hsiou",253
"Jubb, Paul",253
"Holt, Brandon",255
"Rosol, Lukas",256
"Moreno De Alboran, Nicolas",257
"Krueger, Mitchell",258
"Elias, Gastao",261
"Mager, Gianluca",262
"Vavassori, Andrea",262
"Tu, Li",264
"Furness, Evan",265
"Galarneau, Alexis",265
"Noguchi, Rio",265
"Escoffier, Antoine",268
"Hardt, Nick",268
"Lokoli, Laurent",269
"Pucinelli De Almeida, Matheus",270
"Stebe, Cedrik-Marcel",270
"Darderi, Luciano",273
"Ferreira Silva, Frederico",275
"Coppejans, Kimmer",276
"Koepfer, Dominik",279
"Kozlov, Stefan",280
"Maestrelli, Francesco",281
"Kuzmanov, Dimitar",282
"Olivieri, Genaro Alberto",282
"Brancaccio, Raul",287
"Ofner, Sebastian",288
"Shang, Juncheng",289
"Andreev, Adrian",296
"Diaz Acosta, Facundo",298
"Kukushkin, Mikhail",300
"Bonadio, Riccardo",301
"Dzumhur, Damir",304
"Krutykh, Oleksii",307
"Wu, Tung-Lin",307
"Bellier, Antoine",309
"Olivo, Renzo",315
"Novak, Dennis",316
"Pellegrino, Andrea",316
"Paire, Benoit",317
"Rodriguez Taverna, Santiago",317
"Kicker, Nicolas",318
"Nava, Emilio",320
"Ficovich, Juan Pablo",321
"Mena, Facundo",321
"Virtanen, Otto",321
"Couacaud, Enzo",327
"Laaksonen, Henri",334
"Cobolli, Flavio",335
"Marozsan, Fabian",335
"Ritschard, Alexander",335
"Berankis, Ricardas",339
"Meligeni Alves, Felipe",343
"Taberner, Carlos",343
"Hijikata, Rinky",344
"Peniston, Ryan",344
"Broady, Liam",348
"Piros, Zsombor",349
"Zeppieri, Giulio",350
"Muller, Alexandre",351
"Marterer, Maximilian",354
"Kovacevic, Aleksandar",360
"Riedi, Leandro",360
"Uchida, Kaichi",362
"Brouwer, Gijs",363
"Duckworth, James",363
"Shevchenko, Alexander",369
"Bellucci, Mattia",370
"Cerundolo, Juan Manuel",370
"Jarry, Nicolas",370
"Struff, Jan-Lennard",375
"Misolic, Filip",376
"Wawrinka, Stan",377
"Millman, John",378
"Guinard, Manuel",380
"Gojo, Borna",381
"Watanuki, Yosuke",381
"Simon, Gilles",385
"Skatov, Timofey",387
"Grenier, Hugo",388
"Kopriva, Vit",391
"Agamenone, Franco",403
"Kovalik, Jozef",404
"Klein, Lukas",405
"Van Assche, Luca",405
"Blancaneaux, Geoffrey",412
"Arnaldi, Matteo",419
"Sels, Jelle",421
"Sock, Jack",428
"Vukic, Aleksandar",429
"Bergs, Zizou",435
"Hanfmann, Yannick",435
"Nardi, Luca",437
"Ymer, Elias",444
"Ugo Carabelli, Camilo",449
"Delbonis, Federico",456
"Verdasco, Fernando",460
"Eubanks, Christopher",462
"Rodionov, Jurij",465
"Andujar, Pablo",467
"Popyrin, Alexei",469
"Dellien, Hugo",473
"Passaro, Francesco",473
"Stricker, Dominic",483
"Wu, Yibing",488
"Gombos, Norbert",496
"Mmoh, Michael",507
"van Rijthoven, Tim",516
"Johnson, Steve",517
"Vesely, Jiri",524
"Gaston, Hugo",526
"Kubler, Jason",538
"Kudla, Denis",548
"Varillas, Juan Pablo",552
"Gomez, Emilio",553
"Albot, Radu",559
"Thiem, Dominic",561
"Cecchinato, Marco",562
"Kotov, Pavel",563
"Tabilo, Alejandro",567
"Zhang, Zhizhen",569
"Pospisil, Vasek",570
"Borges, Nuno",573
"Machac, Tomas",580
"Griekspoor, Tallon",584
"Shelton, Ben",584
"Altmaier, Daniel",590
"Kokkinakis, Thanasi",592
"Daniel, Taro",594
"Basilashvili, Nikoloz",595
"Bagnis, Facundo",603
"Barrere, Gregoire",603
"Safiullin, Roman",606
"Fucsovics, Marton",607
"Tseng, Chun-Hsin",611
"Humbert, Ugo",613
"Garin, Cristian",615
"Thompson, Jordan",626
"Kwon, Soonwoo",630
"Sousa, Joao",638
"Lajovic, Dusan",646
"Lehecka, Jiri",646
"Etcheverry, Tomas Martin",649
"O'Connell, Christopher",652
"Majchrzak, Kamil",653
"Otte, Oscar",691
"Carballes Baena, Roberto",695
"Coria, Federico",695
"Ivashka, Ilya",705
"Zapata Miralles, Bernabe",712
"Djere, Laslo",738
"Monteiro, Thiago",738
"Ymer, Mikael",739
"Gasquet, Richard",740
"Galan, Daniel Elahi",741
"Wolf, J.J.",746
"Lestienne, Constant",760
"Halys, Quentin",767
"McDonald, Mackenzie",775
"Giron, Marcos",776
"Martinez, Pedro",776
"Bonzi, Benjamin",781
"Karatsev, Aslan",795
"Munar, Jaume",802
"Cachin, Pedro",813
"Huesler, Marc-Andrea",818
"Fognini, Fabio",843
"Krajinovic, Filip",845
"Goffin, David",870
"Monfils, Gael",880
"Moutet, Corentin",892
"Molcan, Alex",895
"Brooksby, Jenson",920
"Murray, Andy",920
"Nakashima, Brandon",927
"Mannarino, Adrian",946
"Sonego, Lorenzo",950
"Rinderknech, Arthur",952
"Baez, Sebastian",987
"Draper, Jack",990
"Isner, John",1005
"Ruusuvuori, Emil",1011
"Ramos-Vinolas, Albert",1075
"Opelka, Reilly",1095
"Bublik, Alexander",1130
"Nishioka, Yoshihito",1134
"van de Zandschulp, Botic",1160
"Cressy, Maxime",1163
"Korda, Sebastian",1175
"Paul, Tommy",1210
"Davidovich Fokina, Alejandro",1280
"Cerundolo, Francisco",1395
"Kecmanovic, Miomir",1420
"Dimitrov, Grigor",1460
"Evans, Daniel",1585
"Coric, Borna",1685
"Schwartzman, Diego",1700
"de Minaur, Alex",1790
"Musetti, Lorenzo",1865
"Kyrgios, Nick",1870
"Bautista Agut, Roberto",1940
"Khachanov, Karen",1990
"Tiafoe, Frances",2000
"Shapovalov, Denis",2075
"Cilic, Marin",2105
"Berrettini, Matteo",2375
"Sinner, Jannik",2410
"Norrie, Cameron",2445
"Carreno Busta, Pablo",2495
"Zverev, Alexander",2700
"Rune, Holger",2888
"Hurkacz, Hubert",2905
"Fritz, Taylor",3355
"Rublev, Andrey",3930
"Medvedev, Daniil",4065
"Auger-Aliassime, Felix",4195
"Djokovic, Novak",4820
"Tsitsipas, Stefanos",5550
"Ruud, Casper",5820
"Nadal, Rafael",6020
"Alcaraz, Carlos",6820
